"ID" "RNA_Stat" "RNA_P" "RIBO_Stat" "RIBO_P"
"ENSG00000128274" 28.3123856075457 0 15.9927726621777 6e-05
"ENSG00000094914" 8.68900768791128 0.001858 0.41874176181031 0.291028
"ENSG00000081760" 38.4042179427991 0 4.37773889081418 0.025978
"ENSG00000158122" 73.9718583688372 0 11.6808748855054 0.00066
"ENSG00000103591" 23.3268888637725 0 5.45805994889705 0.014276
"ENSG00000115977" 2.91505144736338 0.043918 3.13056704793692 0.051202
"ENSG00000087884" 18.5518074584259 6e-06 1.64204345124483 0.12266
"ENSG00000127837" 0 1 0 1
"ENSG00000131043" 0 1 3.56404564246461 0.040404
"ENSG00000090861" 8.42089572359483 0.001986 4.15782955186168 0.02914
"ENSG00000124608" 3.58203866734731 0.029854 1.90056466188978 0.103388
"ENSG00000157426" 12.7035020465857 0.000232 0.000388714140960644 0.51958
"ENSG00000149313" 0.530337296354098 0.223862 7.13162048458184 0.006018
"ENSG00000108270" 9.27836700914406 0.00126 2.29118548018889 0.083256
"ENSG00000183044" 40.1488558245554 0 8.1831006758964 0.003742
"ENSG00000144452" 50.3644815843788 0 44.1047324215459 0
"ENSG00000167972" 29.732655334971 0 12.2010507888563 0.00045
"ENSG00000154265" 7.33351555159739 0.003684 12.0416390496689 0.000488
"ENSG00000154262" 31.0874601645634 0 8.58439514094249 0.002808
"ENSG00000064687" 6.14887754455545 0.006852 7.67569349956236 0.00461
"ENSG00000085563" 83.4910115687146 0 48.0150579148791 0
"ENSG00000135776" 13.6806192150449 0.000188 0 1
"ENSG00000005471" 65.7256739893583 0 29.3595478525277 0
"ENSG00000115657" 28.4422233938169 0 2.35351182605442 0.07986
"ENSG00000131269" 6.55723853164477 0.005504 0.246093700888665 0.343998
"ENSG00000197150" 13.6159009403433 0.000168 0 1
"ENSG00000103222" 10.1926922337185 0.00079 1.82336531631045 0.1098
"ENSG00000124574" 15.8546432879605 3.6e-05 2.50922788485779 0.072616
"ENSG00000125257" 19.9152168502083 1e-05 7.85514727719956 0.004312
"ENSG00000114770" 12.0965187609348 0.000338 0.791050442181529 0.214638
"ENSG00000101986" 13.0829366093701 0.000182 10.6544052735022 0.001078
"ENSG00000173208" 33.372918060633 0 20.9067070504512 2e-06
"ENSG00000117528" 1.06422976147468 0.146192 7.97106343810333 0.004024
"ENSG00000119688" 8.47123559525664 0.002048 0 1
"ENSG00000164163" 0 1 5.82901809776808 0.011902
