"ID" "RNA_Stat" "RNA_P" "RIBO_Stat" "RIBO_P"
"ENSG00000128274" 28.3123856075457 0 15.9927726621777 0.51324
"ENSG00000094914" 8.68900768791128 1 0.41874176181031 1
"ENSG00000081760" 38.4042179427991 0 4.37773889081418 1
"ENSG00000158122" 73.9718583688372 0 11.6808748855054 1
"ENSG00000103591" 23.3268888637725 0 5.45805994889705 1
"ENSG00000115977" 2.91505144736338 1 3.13056704793692 1
"ENSG00000087884" 18.5518074584259 0.043128 1.64204345124483 1
"ENSG00000127837" 0 1 0 1
"ENSG00000131043" 0 1 3.56404564246461 1
"ENSG00000090861" 8.42089572359483 1 4.15782955186168 1
"ENSG00000124608" 3.58203866734731 1 1.90056466188978 1
"ENSG00000157426" 12.7035020465857 1 0.000388714140960644 1
"ENSG00000149313" 0.530337296354098 1 7.13162048458184 1
"ENSG00000108270" 9.27836700914406 1 2.29118548018889 1
"ENSG00000183044" 40.1488558245554 0 8.1831006758964 1
"ENSG00000144452" 50.3644815843788 0 44.1047324215459 0
"ENSG00000167972" 29.732655334971 0 12.2010507888563 1
"ENSG00000154265" 7.33351555159739 1 12.0416390496689 1
"ENSG00000154262" 31.0874601645634 0 8.58439514094249 1
"ENSG00000064687" 6.14887754455545 1 7.67569349956236 1
"ENSG00000085563" 83.4910115687146 0 48.0150579148791 0
"ENSG00000135776" 13.6806192150449 1 0 1
"ENSG00000005471" 65.7256739893583 0 29.3595478525277 0
"ENSG00000115657" 28.4422233938169 0 2.35351182605442 1
"ENSG00000131269" 6.55723853164477 1 0.246093700888665 1
"ENSG00000197150" 13.6159009403433 0.9702 0 1
"ENSG00000103222" 10.1926922337185 1 1.82336531631045 1
"ENSG00000124574" 15.8546432879605 0.232992 2.50922788485779 1
"ENSG00000125257" 19.9152168502083 0.06995 7.85514727719956 1
"ENSG00000114770" 12.0965187609348 1 0.791050442181529 1
"ENSG00000101986" 13.0829366093701 1 10.6544052735022 1
"ENSG00000173208" 33.372918060633 0 20.9067070504512 0.018248
"ENSG00000117528" 1.06422976147468 1 7.97106343810333 1
"ENSG00000119688" 8.47123559525664 1 0 1
"ENSG00000164163" 0 1 5.82901809776808 1
"ENSG00000204574" 2.4327826162595 1 4.74054382746213 1
"ENSG00000033050" 0.509662801915198 1 3.0498223303891 1
"ENSG00000161204" 2.04119495978546 1 5.33986726839021 1
"ENSG00000160179" 34.3527834923745 0 15.0734561160285 0.860472
"ENSG00000144827" 2.41480311771309 1 0.102560029300001 1
"ENSG00000106077" 1.14534903152345 1 0 1
"ENSG00000100997" 13.7377493521799 0.63865 1.5988425041711 1
"ENSG00000139826" 0 1 0.202767232622534 1
"ENSG00000114779" 10.313119846456 1 2.90543043997863 1
"ENSG00000204427" 3.45557922988179 1 0.627150821666351 1
"ENSG00000140526" 22.594132739975 0 3.18815956491682 1
"ENSG00000158201" 23.380197790418 0 12.7585957739841 1
"ENSG00000100439" 13.3610024571373 0.780516 7.12509034773035 1
"ENSG00000011198" 8.29376028900038 1 10.1866272752204 1
